t,x,y,z
58769.6,6795958.79723636,0.000538632821467513,234233.143677595
58769.7,6795932.34364858,0.000536319447883643,234998.305668974
58769.8,6795905.80378917,0.000535217473780956,235763.464667707
58769.9,6795879.17765863,0.000533065916175397,236528.620664441
58770,6795852.46525504,0.000530218921513056,237293.773649866
58770.1,6795825.66657867,0.000527935736407468,238058.923614086
58770.2,6795798.78162992,0.000525677183599995,238824.070546493
58770.3,6795771.81040878,0.000523716860941086,239589.214437535
58770.4,6795744.75291617,0.000521395383221748,240354.355277218
58770.5,6795717.60915165,0.00051854491283903,241119.493055982
58770.6,6795690.37911438,0.000515110749214052,241884.627763784
58770.7,6795663.06280393,0.000512905422766988,242649.759391198
58770.8,6795635.66022542,0.000511833406255258,243414.887928566
58770.9,6795608.17137918,0.000509676687382711,244180.01336657
58771,6795580.59626327,0.000506885066189911,244945.135695854
58771.1,6795552.93487812,0.000504658409715131,245710.254906511
58771.2,6795525.18722409,0.000502505547329568,246475.370987928
58771.3,6795497.35330124,0.000500730790738084,247240.483930565
58771.4,6795469.43311042,0.000498580986966837,248005.593724429
58771.5,6795441.42665121,0.000495896184103025,248770.700359957
58771.6,6795413.33392274,0.000492654881611327,249535.80382712
58771.7,6795385.1549247,0.000490716544114321,250300.90411649
58771.8,6795356.88966225,0.000489834946292038,251066.001218429
58771.9,6795328.53813556,0.000487842789612302,251831.095123651
58772,6795300.10034274,0.000485290811218615,252596.185822751
58772.1,6795271.57628429,0.000483302733595118,253361.273305804
58772.2,6795242.96596063,0.000481426730845859,254126.357562191
58772.3,6795214.26937185,0.000479993702511782,254891.438582386
58772.4,6795185.4865187,0.000478169178145227,255656.516356403
58772.5,6795156.61740081,0.00047580444098272,256421.590874669
58772.6,6795127.66201727,0.000472911712521919,257186.662127171
58772.7,6795098.62036786,0.000471393298998504,257951.730104483
58772.8,6795069.49245781,0.000470856294077403,258716.79479699
58772.9,6795040.27828711,0.00046919699654843,259481.856195437
58773,6795010.97785393,0.000467065144608852,260246.914290371
58773.1,6794981.59115888,0.000465495448526885,261011.969071839
58773.2,6794952.11820238,0.000464053283042461,261777.020529231
58773.3,6794922.55898459,0.000463090740246868,262542.068653031
58773.4,6794892.91350617,0.000461717374906938,263307.113433256
58773.5,6794863.18176675,0.00045979830265824,264072.15486032
58773.6,6794833.36376539,0.00045737687206635,264837.192924224
58773.7,6794803.45950199,0.000456404270339105,265602.227615543
58773.8,6794773.46898182,0.000456338363235899,266367.258924693
58773.9,6794743.39220472,0.000455149697917373,267132.286842446
58774,6794713.22916891,0.000453578375257473,267897.311359305
58774.1,6794682.97987508,0.000452567170914061,268662.332465277
58774.2,6794652.6443237,0.000451674805398862,269427.350149779
58774.3,6794622.22251497,0.000451271830140994,270192.36440331
58774.4,6794591.71444944,0.000450435878993432,270957.375215873
58774.5,6794561.12012677,0.000449046444808488,271722.382577869
58774.6,6794530.43954599,0.00044717204011684,272487.386479311
58774.7,6794499.67270711,0.000446832100511301,273252.386910772
58774.8,6794468.81961542,0.000447325835259268,274017.383862709
58774.9,6794437.88027063,0.000446700528277292,274782.377325913
58775,6794406.85467107,0.000445773583975305,275547.367290849
58775.1,6794375.74281744,0.000445403871558192,276312.353747477
58775.2,6794344.54471024,0.000445127389837012,277077.336685249
58775.3,6794313.26034974,0.000445333268824862,277842.316094678
58775.4,6794281.88973637,0.00044508176312791,278607.291965756
58775.5,6794250.43286982,0.000444265851588226,279372.264288863
58775.6,6794218.88974911,0.000442974517438698,280137.233054023
58775.7,6794187.26037436,0.000443317294421593,280902.198251807
58775.8,6794155.54475089,0.000444423382615743,281667.159872714
58775.9,6794123.74287825,0.000444413074058243,282432.117907551
58776,6794091.8547549,0.000444166677530968,283197.072346751
58776.1,6794059.88038155,0.000444474845772264,283962.023180218
58776.2,6794027.8197587,0.000444842085677836,284726.970397444
58776.3,6793995.67288669,0.000445676170944083,285491.913988959
58776.4,6793963.43976586,0.000446028181355612,286256.853944742
58776.5,6793931.12039592,0.000445803375088959,287021.790255156
58776.6,6793898.71477585,0.000445113911613336,287786.722910232
58776.7,6793866.22290595,0.000446166167290998,288551.651900533
58776.8,6793833.64479151,0.000447913089308033,289316.577216605
58776.9,6793800.98043198,0.000448542624689733,290081.498849267
58777,6793768.2298259,0.000448985047033812,290846.416788923
58777.1,6793735.39297399,0.000449982109008037,291611.331025426
58777.2,6793702.46987677,0.00045099887868357,292376.241548297
58777.3,6793669.46053463,0.000452461242400037,293141.148348088
58777.4,6793636.36494782,0.000453419859344395,293906.051414772
58777.5,6793603.18311607,0.000453790912587078,294670.950738691
58777.6,6793569.91503832,0.00045371930749733,295435.846309887
58777.7,6793536.5607151,0.000455493118800575,296200.738118909
58777.8,6793503.12015163,0.000457893370218154,296965.626156344
58777.9,6793469.59334725,0.00045917029549425,297730.510413027
58778,6793435.98030061,0.000460292301648166,298495.390879333
58778.1,6793402.28101243,0.000461972903443003,299260.267545068
58778.2,6793368.49548323,0.000463627781434589,300025.140399783
58778.3,6793334.62371344,0.000465701141374745,300790.009434046
58778.4,6793300.66570325,0.000467254888820903,301554.874637831
58778.5,6793266.62145238,0.000468214902796743,302319.736001464
58778.6,6793232.49095978,0.000468769132212385,303084.593514991
58778.7,6793198.27422619,0.00047125680890856,303849.447168953
58778.8,6793163.97125675,0.000474302620782064,304614.296953966
58778.9,6793129.58205068,0.000476215580626211,305379.142860876
58779,6793095.10660677,0.000477986891024227,306143.98488004
58779.1,6793060.54492571,0.000480323069398495,306908.823001223
58779.2,6793025.89700802,0.000482583168823142,307673.657213996
58779.3,6792991.16285418,0.000485229514541615,308438.487508944
58779.4,6792956.34246431,0.00048734703090414,309203.313876051
58779.5,6792921.43583815,0.000488871019390064,309968.136305623
58779.6,6792886.44297463,0.000490039070776587,310732.954787715
58779.7,6792851.36387474,0.000493205705926939,311497.76931286
58779.8,6792816.19854351,0.000496862053209381,312262.579871694
58779.9,6792780.94698003,0.000499377365911009,313027.38645507
58780,6792745.60918322,0.000501742613272504,313792.18905333
58780.1,6792710.1851538,0.000504677707990599,314556.987656206
58780.2,6792674.67489221,0.000507486743401791,315321.782253286
58780.3,6792639.07839902,0.000510647506561506,316086.572835168
58780.4,6792603.39567428,0.000513275904238874,316851.35939185
58780.5,6792567.62671775,0.000515316760582246,317616.141913623
58780.6,6792531.77152837,0.000517056505693007,318380.92039055
58780.7,6792495.83010737,0.000520834584947034,319145.694813165
58780.8,6792459.80245961,0.000525036728939391,319910.465172113
58780.9,6792423.68858411,0.000528096155871252,320675.231458239
58781,6792387.48847988,0.000530975316548484,321439.993661885
58781.1,6792351.20214768,0.00053442345650712,322204.751772752
58781.2,6792314.8295879,0.000537700062181922,322969.505780444
58781.3,6792278.37080116,0.000541294692177196,323734.255675566
58781.4,6792241.82578746,0.000544356865432816,324499.001448134
58781.5,6792205.1945466,0.000546839154241726,325263.743088427
58781.6,6792168.47707751,0.000549062556800902,326028.48058652
58781.7,6792131.67338167,0.000553337653153368,326793.213932955
58781.8,6792094.78346377,0.000557981833265403,327557.943118378
58781.9,6792057.80732273,0.000561490138563507,328322.668133613
58782,6792020.74495765,0.000564771817806459,329087.388969007
58782.1,6791983.59636936,0.000568612110102082,329852.105614238
