t,x,y,z,r
58777.09375,-6492763.49979148,65.6979142158833,1998050.98640524,6793245.58755354
58777.0943287037,-6595115.31111344,52.7390390569367,1628877.42658835,6793289.89816521
58777.0949074074,-6676487.97801421,39.4122103489324,1254507.71813557,6793326.23513573
58777.0954861111,-6736619.4752514,25.7574618011846,876135.539318578,6793353.76954983
58777.0960648148,-6775316.11232946,11.8165434129435,494967.802412838,6793371.88350205
58777.0966435185,-6792453.22213474,-2.36721144546543,112220.669830432,6793380.17879401
58777.0972222222,-6787975.60476829,-16.7490267348862,-270884.469148761,6793378.48252517
58777.0978009259,-6761897.72386106,-31.2828316391098,-653125.043937797,6793366.8495051
58777.0983796296,-6714303.65417503,-45.9214150104038,-1033281.35315781,6793345.56145649
58777.0989583333,-6645346.78083285,-60.6165856976268,-1410140.60272128,6793315.12301932
58777.099537037,-6555249.25205144,-75.319338057266,-1782500.91422831,6793276.25460784
58777.1001157407,-6444301.18875631,-89.9800219263673,-2149175.28672889,6793229.88221277
58777.1006944444,-6312859.65589819,-104.548516322112,-2508995.49538244,6793177.12428042
58777.1012731481,-6161347.40165917,-118.974406125689,-2860815.91118325,6793119.27583834
58777.1018518519,-5990251.37199982,-133.207161007808,-3203517.22670309,6793057.79007314
58777.1024305556,-5800121.00914385,-147.1963158593,-3536010.07371267,6792994.25759923
58777.1030092593,-5591566.34360664,-160.891652002276,-3857238.5195613,6792930.38368774
58777.103587963,-5365255.89023636,-174.24337847445,-4166183.4302981,6792867.96375193
58777.1041666667,-5121914.35944344,-187.202312700947,-4461865.6896835,6792808.85740887
58777.1047453704,-4862320.19534033,-199.720059893094,-4743349.26444289,6792754.96145661
58777.1053240741,-4587302.95289993,-211.749190541646,-5009744.10733037,6792708.18212099
58777.1059027778,-4297740.52646928,-223.243415401615,-5260208.89077481,6792670.4069372
58777.1064814815,-3994556.24205464,-234.157757396407,-5493953.56505043,6792643.47663691
58777.1070601852,-3678715.82573437,-244.448719899487,-5710241.73602798,6792629.15741316
58777.1076388889,-3351224.26037159,-254.074450881381,-5908392.85860143,6792629.11393146
58777.1082175926,-3013122.54250778,-262.994902437806,-6087784.24283278,6792644.88344694
58777.1087962963,-2665484.35093835,-271.171985240354,-6247852.87070057,6792677.85137444
58777.109375,-2309412.63802544,-278.569717473969,-6388097.02206787,6792729.22864037
58777.1099537037,-1946036.15431158,-285.154367845078,-6508077.70909518,6792800.03112283
58777.1105324074,-1576505.91648482,-290.894592260356,-6607419.91881385,6792891.06146046
58777.1111111111,-1201991.62823206,-295.76156378877,-6685813.66394617,6793002.89347975
58777.1116898148,-823678.06302543,-299.729095528733,-6743014.84231667,6793135.85945767
58777.1122685185,-442761.417434818,-302.77375600828,-6778845.90535497,6793290.04039932
58777.1128472222,-60445.6431668927,-304.874976749488,-6793196.33625607,6793465.25947175
58777.1134259259,322061.234289369,-306.015151629477,-6786022.93835535,6793661.07869404
58777.1140046296,703550.80276576,-306.179727669978,-6757349.93421091,6793876.79894171
58777.1145833333,1082817.9487644,-305.357286886333,-6707268.87578433,6794111.46328014
58777.115162037,1458664.53359707,-303.539618825821,-6635938.36599383,6794363.86359894
58777.1157407407,1829903.05280559,-300.721783425291,-6543583.59180127,6794632.55047626
58777.1163194444,2195360.27120776,-296.902163820075,-6430495.66890852,6794915.84616024
58777.1168981481,2553880.82567972,-292.08250874108,-6297030.7980979,6795211.86051474
58777.1174768519,2904330.78747457,-286.26796414557,-6143609.23327452,6795518.50973845
58777.1180555556,3245601.17550298,-279.467093740292,-5970714.06137175,6795833.53763102
