t,x,y,z,r
58777.1898148148,6350418.35378208,-176.71376968645,-2420095.84313953,6795930.92881773
58777.1903935185,6476777.31293485,-152.358933884653,-2058722.56186422,6796100.57101053
58777.1909722222,6582564.23618244,-127.468787958318,-1690792.05259483,6796243.79380509
58777.1915509259,6667440.03566281,-102.122866306288,-1317475.50093789,6796359.19703777
58777.1921296296,6731132.54252358,-76.4023873105551,-939961.710794038,6796445.63934828
58777.1927083333,6773437.45301947,-50.3899782044812,-559453.230293237,6796502.25111355
58777.193287037,6794219.04044422,-24.1693938220801,-177162.421462549,6796528.44426457
58777.1938657407,6793410.62875557,2.17476958313265,205692.510458439,6796523.91886857
58777.1944444444,6771014.8251264,28.5573642232679,587891.511752602,6796488.66639883
58777.1950231481,6727103.5100702,54.8929831115234,968216.682468763,6796422.9696527
58777.1956018519,6661817.58522802,81.0962535794329,1345456.26956261,6796327.39931908
58777.1961805556,6575366.48033768,107.082130705002,1718408.63442587,6796202.80723614
58777.1967592593,6468027.42231797,132.766189389477,2085886.17854481,6796050.31642117
58777.197337963,6340144.47075688,158.064913842582,2446719.21146039,6795871.30799156
58777.1979166667,6192127.32540156,182.895983265281,2799759.7457233,6795667.40513456
58777.1984953704,6024449.91241687,207.178552568729,3143885.20433679,6795440.45431864
